,0
0,0.58
1,0.94
2,1.5
3,1.76
4,2.62
5,3.16
6,3.68
7,4.2700000000000005
8,4.890000000000001
9,5.450000000000001
10,5.870000000000001
11,6.330000000000001
12,6.950000000000001
13,7.590000000000001
14,8.15
15,8.73
16,9.200000000000001
17,9.740000000000002
18,10.310000000000002
19,10.880000000000003
20,11.580000000000002
21,12.150000000000002
22,12.660000000000002
23,13.140000000000002
24,13.720000000000002
25,14.250000000000002
26,14.720000000000002
27,15.280000000000003
28,15.860000000000003
29,16.400000000000002
30,16.950000000000003
31,17.630000000000003
32,18.070000000000004
33,18.570000000000004
34,19.180000000000003
35,19.720000000000002
36,20.390000000000004
37,20.890000000000004
38,21.470000000000002
39,22.040000000000003
40,22.580000000000002
41,23.060000000000002
42,23.6
43,24.200000000000003
44,24.78
45,25.27
46,25.81
47,26.27
48,26.79
49,27.36
50,27.98
51,28.5
52,29.12
53,29.7
54,30.24
55,30.81
56,31.33
57,31.819999999999997
58,32.449999999999996
59,32.99999999999999
60,33.529999999999994
61,34.06999999999999
62,34.71999999999999
63,35.21999999999999
64,35.76999999999999
65,36.389999999999986
66,36.829999999999984
67,37.399999999999984
68,37.90999999999998
69,38.469999999999985
70,39.039999999999985
71,39.609999999999985
72,40.079999999999984
73,40.58999999999998
74,41.149999999999984
75,41.69999999999998
76,42.30999999999998
77,42.899999999999984
78,43.40999999999998
79,44.009999999999984
80,44.52999999999999
81,45.109999999999985
82,45.639999999999986
83,46.20999999999999
84,46.819999999999986
85,47.37999999999999
86,47.96999999999999
87,48.51999999999999
88,49.09999999999999
89,49.54999999999999
90,50.19999999999999
91,50.66999999999999
92,51.27999999999999
93,51.77999999999999
94,52.319999999999986
95,52.86999999999998
96,53.45999999999999
97,54.08999999999999
98,54.64999999999999
99,55.28999999999999
100,55.83999999999999
101,56.37999999999999
102,56.929999999999986
103,57.41999999999999
104,58.00999999999999
105,58.56999999999999
106,59.099999999999994
107,59.71999999999999
108,60.24999999999999
109,60.78999999999999
110,61.459999999999994
111,62.14999999999999
112,62.75999999999999
113,63.349999999999994
114,63.94
115,64.48
116,65.05
117,65.61
118,66.13
119,66.72
120,67.27
121,67.88
122,68.38
123,68.99
124,69.57
125,70.21
126,70.74
127,71.21
128,71.72
129,72.28999999999999
130,72.80999999999999
131,73.38999999999999
132,73.91999999999999
133,74.46999999999998
134,75.00999999999999
135,75.57999999999998
136,76.19999999999999
137,76.71999999999998
138,77.26999999999998
139,77.82999999999998
140,78.36999999999999
141,78.86999999999999
142,79.58999999999999
143,80.07999999999998
144,80.68999999999998
145,81.21999999999998
146,81.90999999999998
147,82.57999999999998
148,83.17999999999998
149,83.66999999999997
150,84.28999999999998
151,84.83999999999997
152,85.41999999999997
153,85.97999999999998
154,86.55999999999997
155,87.13999999999997
156,87.62999999999997
157,88.19999999999996
158,88.71999999999996
159,89.27999999999996
160,89.91999999999996
161,90.45999999999997
162,90.94999999999996
163,91.54999999999995
164,92.09999999999995
165,92.56999999999995
166,93.04999999999995
167,93.58999999999996
168,94.17999999999996
169,94.80999999999996
170,95.33999999999996
171,95.93999999999996
172,96.45999999999995
173,97.07999999999996
174,97.64999999999995
175,98.18999999999996
176,98.75999999999995
177,99.32999999999994
178,99.91999999999994
179,100.47999999999995
180,100.99999999999994
181,101.56999999999994
182,102.15999999999994
183,102.72999999999993
184,103.32999999999993
185,103.91999999999993
186,104.49999999999993
187,104.99999999999993
188,105.60999999999993
189,106.13999999999993
190,106.66999999999993
191,107.19999999999993
192,107.80999999999993
193,108.35999999999993
194,108.92999999999992
195,109.60999999999993
196,110.19999999999993
197,110.80999999999993
198,111.39999999999993
199,111.97999999999993
200,112.53999999999994
201,113.09999999999994
202,113.61999999999993
203,114.18999999999993
204,114.80999999999993
205,115.42999999999994
206,115.93999999999994
207,116.50999999999993
208,117.05999999999993
209,117.62999999999992
210,118.15999999999993
211,118.70999999999992
212,119.35999999999993
213,119.95999999999992
214,120.42999999999992
215,120.97999999999992
216,121.55999999999992
217,122.09999999999992
218,122.63999999999993
219,123.19999999999993
220,123.68999999999993
221,124.23999999999992
222,124.81999999999992
223,125.44999999999992
224,126.01999999999991
225,126.56999999999991
226,127.1499999999999
227,127.7599999999999
228,128.3499999999999
229,128.83999999999992
230,129.41999999999993
231,129.98999999999992
232,130.58999999999992
233,131.07999999999993
234,131.63999999999993
235,132.12999999999994
236,132.71999999999994
237,133.25999999999993
238,133.82999999999993
239,134.44999999999993
240,134.98999999999992
241,135.56999999999994
242,136.12999999999994
243,136.73999999999995
244,137.30999999999995
245,137.87999999999994
246,138.56999999999994
247,139.13999999999993
248,139.67999999999992
249,140.2199999999999
250,140.8499999999999
251,141.4399999999999
252,141.9399999999999
253,142.49999999999991
254,143.05999999999992
255,143.60999999999993
256,144.20999999999992
257,144.80999999999992
258,145.3499999999999
259,145.89999999999992
260,146.49999999999991
261,147.08999999999992
262,147.61999999999992
263,148.1299999999999
264,148.7299999999999
265,149.2399999999999
266,149.7999999999999
267,150.3399999999999
268,150.93999999999988
269,151.5199999999999
270,152.1499999999999
271,152.6999999999999
272,153.2299999999999
273,153.83999999999992
274,154.35999999999993
275,154.95999999999992
276,155.58999999999992
277,156.1599999999999
278,156.6899999999999
279,157.2299999999999
280,157.7899999999999
281,158.2899999999999
282,158.8199999999999
283,159.4599999999999
284,160.0699999999999
285,160.67999999999992
286,161.20999999999992
287,161.76999999999992
288,162.29999999999993
289,162.78999999999994
290,163.35999999999993
291,163.90999999999994
292,164.50999999999993
293,165.04999999999993
294,165.62999999999994
295,166.22999999999993
296,166.73999999999992
297,167.33999999999992
298,167.89999999999992
299,168.4699999999999
300,168.9699999999999
301,169.6099999999999
302,170.2399999999999
303,170.7799999999999
304,171.28999999999988
305,171.92999999999986
306,172.50999999999988
307,173.04999999999987
308,173.61999999999986
309,174.19999999999987
310,174.76999999999987
311,175.43999999999986
312,175.97999999999985
313,176.59999999999985
314,177.20999999999987
315,177.81999999999988
316,178.3099999999999
317,178.8699999999999
318,179.46999999999989
319,180.0199999999999
320,180.6199999999999
321,181.1999999999999
322,181.8199999999999
323,182.3899999999999
324,182.9599999999999
325,183.4899999999999
326,183.96999999999989
327,184.50999999999988
328,185.1199999999999
329,185.68999999999988
330,186.2399999999999
331,186.8299999999999
332,187.3499999999999
333,187.92999999999992
334,188.50999999999993
335,188.93999999999994
336,189.47999999999993
337,190.05999999999995
338,190.65999999999994
339,191.29999999999993
340,191.86999999999992
341,192.42999999999992
342,193.02999999999992
343,193.60999999999993
344,194.15999999999994
345,194.76999999999995
346,195.33999999999995
347,195.87999999999994
348,196.47999999999993
349,196.98999999999992
350,197.54999999999993
351,198.15999999999994
352,198.78999999999994
353,199.34999999999994
354,199.85999999999993
355,200.41999999999993
356,200.95999999999992
357,201.55999999999992
358,202.07999999999993
359,202.66999999999993
360,203.35999999999993
361,203.95999999999992
362,204.61999999999992
363,205.14999999999992
364,205.74999999999991
365,206.2899999999999
366,206.8899999999999
367,207.4699999999999
368,208.04999999999993
369,208.60999999999993
370,209.21999999999994
371,209.75999999999993
372,210.31999999999994
373,210.92999999999995
374,211.49999999999994
375,211.98999999999995
376,212.64999999999995
377,213.24999999999994
378,213.80999999999995
379,214.43999999999994
380,214.97999999999993
381,215.55999999999995
382,216.17999999999995
383,216.88999999999996
384,217.50999999999996
385,218.03999999999996
386,218.54999999999995
387,219.14999999999995
388,219.75999999999996
389,220.34999999999997
390,220.92999999999998
391,221.54
392,222.19
393,222.8
394,223.42000000000002
395,224.01000000000002
396,224.53000000000003
397,225.06000000000003
398,225.59000000000003
399,226.20000000000005
400,226.78000000000006
401,227.40000000000006
402,227.98000000000008
403,228.5900000000001
404,229.2100000000001
405,229.7900000000001
406,230.3900000000001
407,231.0000000000001
408,231.5100000000001
409,232.0500000000001
410,232.7100000000001
411,233.3000000000001
412,233.8300000000001
413,234.4800000000001
414,235.0100000000001
415,235.56000000000012
416,236.1600000000001
417,236.7000000000001
418,237.2400000000001
419,237.7100000000001
420,238.2900000000001
421,238.81000000000012
422,239.46000000000012
423,240.05000000000013
424,240.74000000000012
425,241.36000000000013
426,241.88000000000014
427,242.45000000000013
428,243.00000000000014
429,243.57000000000014
430,244.18000000000015
431,244.72000000000014
432,245.31000000000014
433,245.91000000000014
434,246.51000000000013
435,247.12000000000015
436,247.70000000000016
437,248.36000000000016
438,249.05000000000015
439,249.55000000000015
440,250.13000000000017
441,250.74000000000018
442,251.2600000000002
443,251.8500000000002
444,252.3700000000002
445,252.9400000000002
